"","ensembl_gene_id","mgi_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000003033","ENSMUSG00000003033","Ap1m1",0.0210786846631086,7.53370499525074,0.113651928658301,0.9105065753038,0.991432429581756,-7.02508823658806
"ENSMUSG00000027978","ENSMUSG00000027978","Prss12",-0.111781637847911,1.4739582812122,-0.113634057315475,0.910520584719061,0.991432429581756,-5.46077131375636
"ENSMUSG00000084174","ENSMUSG00000084174","Sycn",0.0710003440014804,-0.042131158825097,0.113106479458538,0.910934168406997,0.991432429581756,-5.71715523770586
"ENSMUSG00000050565","ENSMUSG00000050565","Tor1aip2",0.0209220292039811,6.62459158993158,0.112677867674342,0.911270188660797,0.991432429581756,-6.83938371514758
"ENSMUSG00000029847","ENSMUSG00000029847","Slc23a4",0.0810380186164079,-0.326689268806256,0.112554848163922,0.9113666358189,0.991432429581756,-5.55080656829248
"ENSMUSG00000020775","ENSMUSG00000020775","Mrpl38",-0.0207450071517652,6.16673441364041,-0.112423454258649,0.911469650031757,0.991432429581756,-6.76260705154447
"ENSMUSG00000031362","ENSMUSG00000031362","Xlr4c",-0.0451709452792155,4.21667695904017,-0.11241143944557,0.91147906985166,0.991432429581756,-5.90015684270737
"ENSMUSG00000030792","ENSMUSG00000030792","Dkkl1",0.0871029107787614,-0.117372843311685,0.112367050242321,0.911513871864825,0.991432429581756,-5.58667256520443
"ENSMUSG00000030888","ENSMUSG00000030888","Rrp8",0.0227978715032204,6.31093453819511,0.112339389841458,0.911535558257684,0.991432429581756,-6.95668944736304
"ENSMUSG00000030814","ENSMUSG00000030814","Bcl7c",0.0295316505825447,4.84967254317196,0.112318855276777,0.911551657875931,0.991432429581756,-6.30842388931535
"ENSMUSG00000020843","ENSMUSG00000020843","Timm22",0.0298655026246211,5.8445293815188,0.112165189066859,0.911672137301433,0.991432429581756,-6.62355539372385
"ENSMUSG00000002900","ENSMUSG00000002900","Lamb1",0.0710003440014801,-0.17039841006981,0.112160212639776,0.911676039022205,0.991432429581756,-5.71725476816021
"ENSMUSG00000067702","ENSMUSG00000067702","Tuba3a",-0.0738812516257297,1.30135547703653,-0.111738895432221,0.912006377037762,0.991432429581756,-5.56000413005042
"ENSMUSG00000024124","ENSMUSG00000024124","Prss30",0.0710003440014804,-0.146064430149738,0.111621203321041,0.912098657628824,0.991432429581756,-5.71731108900851
"ENSMUSG00000037531","ENSMUSG00000037531","Mrpl47",0.0270660111452168,4.91475875561006,0.11159615219683,0.912118299996892,0.991432429581756,-6.43396455495451
"ENSMUSG00000020023","ENSMUSG00000020023","Tmcc3",-0.0657316656268998,2.83423304038818,-0.11144957174672,0.91223323359758,0.991432429581756,-5.76470451887301
"ENSMUSG00000055884","ENSMUSG00000055884","Fancm",0.0916267058712403,2.78106904511626,0.111416797849953,0.912258931848942,0.991432429581756,-5.64857146750574
