"","ensembl_gene_id","mgi_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000001763","ENSMUSG00000001763","Tspan33",0.338651713184722,0.314105008495411,0.359360503085078,0.72262567883883,0.982914618375091,-5.58288422225559
"ENSMUSG00000054814","ENSMUSG00000054814","Usp46",-0.243315614652575,2.63686907361528,-0.358965191609597,0.722917403499814,0.982914618375091,-5.60844837688225
"ENSMUSG00000021639","ENSMUSG00000021639","Gtf2h2",-0.0984555144439829,5.8667864139619,-0.358866867357257,0.722989969689962,0.982914618375091,-6.39293244909882
"ENSMUSG00000028410","ENSMUSG00000028410","Dnaja1",-0.0629073083182838,8.42435048175583,-0.358834654908308,0.723013744002722,0.982914618375091,-7.08710883983822
"ENSMUSG00000030541","ENSMUSG00000030541","Idh2",-0.0799060517024257,6.14561455084677,-0.358699043970712,0.723113834424304,0.982914618375091,-6.81938941319855
"ENSMUSG00000024777","ENSMUSG00000024777","Ppp2r5b",-0.149632368568482,4.548837889705,-0.358489601780959,0.723268427438003,0.982914618375091,-6.10742211189585
"ENSMUSG00000008200","ENSMUSG00000008200","Fnbp4",0.0705214354165271,7.3086742561383,0.358345237678376,0.723374992170147,0.982914618375091,-6.93756029785878
"ENSMUSG00000004462","ENSMUSG00000004462","Tbccd1",0.189870546915145,3.75613142223656,0.358327096272011,0.723388383951812,0.982914618375091,-5.88491419340366
"ENSMUSG00000003344","ENSMUSG00000003344","Btbd2",-0.0950218111497758,4.59622459881921,-0.358216141275537,0.723470291645538,0.982914618375091,-6.41602880185726
"ENSMUSG00000078974","ENSMUSG00000078974","Sec61g",-0.112796774487595,5.35799985025818,-0.358158110837439,0.723513131434919,0.982914618375091,-6.25997774858347
"ENSMUSG00000036257","ENSMUSG00000036257","Pnpla8",-0.135922358635668,5.08494894295703,-0.358115683315071,0.723544453274311,0.982914618375091,-6.20123932612796
"ENSMUSG00000023919","ENSMUSG00000023919","Cenpq",-0.139564958674354,4.18154152854128,-0.358100141801453,0.723555926818155,0.982914618375091,-6.09175140321581
"ENSMUSG00000019861","ENSMUSG00000019861","Gopc",-0.133106160280868,5.27885769617587,-0.35807221238384,0.72357654591577,0.982914618375091,-6.42594410607995
"ENSMUSG00000041961","ENSMUSG00000041961","Znrf3",0.103615985267373,5.54816855794665,0.358054605481948,0.723589544450359,0.982914618375091,-6.47356232532835
"ENSMUSG00000039771","ENSMUSG00000039771","Polr2j",0.107867701663914,5.24008723786222,0.358039202275735,0.723600916146419,0.982914618375091,-6.16439145923208
"ENSMUSG00000036112","ENSMUSG00000036112","Metap2",0.0601082233956101,8.2125779823547,0.357960885174106,0.723658736172474,0.982914618375091,-6.96461184100441
"ENSMUSG00000017299","ENSMUSG00000017299","Dnttip1",0.112644861818405,5.58355201918716,0.357743258231402,0.723819414836167,0.982914618375091,-6.34480028925291
"ENSMUSG00000046876","ENSMUSG00000046876","Atxn1",0.222814529489839,2.80034229576985,0.357721421300867,0.723835538229712,0.982914618375091,-5.65866446656673
"ENSMUSG00000023852","ENSMUSG00000023852","Chd1",-0.0683722380508627,7.65427193458418,-0.357382235336343,0.72408599445719,0.982914618375091,-6.89815926047747
"ENSMUSG00000031778","ENSMUSG00000031778","Cx3cl1",-0.235679255852066,0.26545455085253,-0.357325316190789,0.724128026863009,0.982914618375091,-5.68568750069069
"ENSMUSG00000019777","ENSMUSG00000019777","Hdac2",0.0612635850520657,7.57680311927367,0.35730002142116,0.7241467062761,0.982914618375091,-6.85584210746219
"ENSMUSG00000030282","ENSMUSG00000030282","Cmas",0.0617751707238723,7.28199652966597,0.357201539052497,0.724219434159939,0.982914618375091,-6.92439571846015
"ENSMUSG00000059518","ENSMUSG00000059518","Znhit1",0.132743598698266,4.83905153526166,0.357170391573507,0.724242436700455,0.982914618375091,-6.08831001198806
"ENSMUSG00000042743","ENSMUSG00000042743","Sgtb",0.284617820459647,-0.157200276030226,0.357059988574,0.724323971905954,0.982914618375091,-5.50659084999696
"ENSMUSG00000047617","ENSMUSG00000047617","Paxx",0.0863149824862255,5.82328155289596,0.357036348952467,0.724341430754806,0.982914618375091,-6.67860798806833
"ENSMUSG00000003526","ENSMUSG00000003526","Prodh",0.436814948528509,0.990551675429382,0.357036177614138,0.724341557295883,0.982914618375091,-5.40880778485754
"ENSMUSG00000035048","ENSMUSG00000035048","Anapc13",-0.133541430742495,3.94137903236574,-0.356828538988621,0.724494913682661,0.982914618375091,-6.06129119644362
"ENSMUSG00000055210","ENSMUSG00000055210","Foxd2",0.374860687817857,0.53515058879935,0.356680107993733,0.724604548111905,0.982914618375091,-5.43141540656792
"ENSMUSG00000056268","ENSMUSG00000056268","Dennd1b",0.0982050310477192,5.69890106000529,0.356605703217728,0.724659507399068,0.982914618375091,-6.49882863609513
"ENSMUSG00000041645","ENSMUSG00000041645","Ddx24",-0.0695836675092991,8.092827259191,-0.356514626662815,0.724726783400782,0.982914618375091,-7.04721867149515
"ENSMUSG00000026189","ENSMUSG00000026189","Pecr",-0.328900057679688,2.13200625918503,-0.356345776777278,0.724851514639291,0.982914618375091,-5.46080263399605
"ENSMUSG00000020198","ENSMUSG00000020198","Ap3d1",-0.061356831658089,6.94037844875952,-0.356320944445628,0.724869859208711,0.982914618375091,-6.92331731039313
"ENSMUSG00000026017","ENSMUSG00000026017","Carf",-0.303392540557937,1.51154028691461,-0.356251935940766,0.72492083924934,0.982914618375091,-5.48505126575766
"ENSMUSG00000022019","ENSMUSG00000022019","Tdrd3",-0.256756803100187,4.12672531454414,-0.356057077469875,0.72506479798882,0.982914618375091,-5.95233701663277
