"","HarVsNoHar5h_unique","NoHar5hVsNaive_unique","HarVsNoHar5h_NoHar5hVsNaive_intersection"
"3147",NA,"Slc7a4",NA
"3148",NA,"Kbtbd8",NA
"3149",NA,"Creb3l1",NA
"3150",NA,"Rell1",NA
"3151",NA,"Cibar1",NA
"3152",NA,"Thg1l",NA
"3153",NA,"Akr1c13",NA
"3154",NA,"Lmo4",NA
"3155",NA,"Ncapd3",NA
"3156",NA,"Oasl1",NA
"3157",NA,"Atp2b4",NA
"3158",NA,"Usp22",NA
"3159",NA,"Slamf8",NA
"3160",NA,"Rrm2b",NA
"3161",NA,"Pmaip1",NA
"3162",NA,"Mocs1",NA
"3163",NA,"Cnnm2",NA
"3164",NA,"Akr1b10",NA
"3165",NA,"Ptprm",NA
"3166",NA,"Tubb1",NA
"3167",NA,"Cuedc1",NA
"3168",NA,"Calhm2",NA
"3169",NA,"Cdr2l",NA
"3170",NA,"Brca1",NA
"3171",NA,"Spata2l",NA
"3172",NA,"Ccdc85c",NA
"3173",NA,"Zfp940",NA
"3174",NA,"Gm6377",NA
"3175",NA,"Hspb11",NA
"3176",NA,"2810408A11Rik",NA
"3177",NA,"Tmem51",NA
"3178",NA,"Hmgb3",NA
"3179",NA,"Kif22",NA
"3180",NA,"Clec12a",NA
"3181",NA,"Nebl",NA
"3182",NA,"Tmem91",NA
"3183",NA,"Rnase6",NA
"3184",NA,"Mycl",NA
"3185",NA,"H2-Aa",NA
"3186",NA,"Lonrf3",NA
"3187",NA,"Snai3",NA
"3188",NA,"Gata2",NA
"3189",NA,"Pla2g6",NA
"3190",NA,"Rnf113a1",NA
"3191",NA,"Vangl2",NA
"3192",NA,"Cenpl",NA
"3193",NA,"Fbxw10",NA
"3194",NA,"H2-Q10",NA
"3195",NA,"Ikzf4",NA
"3196",NA,"Slc25a13",NA
"3197",NA,"Slc29a2",NA
"3198",NA,"Ctc1",NA
"3199",NA,"Zbtb8a",NA
"3200",NA,"Il9r",NA
"3201",NA,"Abhd15",NA
"3202",NA,"Rftn2",NA
"3203",NA,"Krba1",NA
"3204",NA,"Rasgrf2",NA
"3205",NA,"Haao",NA
"3206",NA,"Birc5",NA
"3207",NA,"Perm1",NA
"3208",NA,"Tmem221",NA
"3209",NA,"Rtl8b",NA
"3210",NA,"Ttc30a1",NA
"3211",NA,"Ccdc57",NA
"3212",NA,"Zc3h6",NA
"3213",NA,"Diaph2",NA
"3214",NA,"Smad3",NA
"3215",NA,"Iqsec1",NA
"3216",NA,"Mocos",NA
"3217",NA,"Slc26a8",NA
"3218",NA,"Rps6ka5",NA
"3219",NA,"Cbfa2t3",NA
"3220",NA,"Tmem241",NA
"3221",NA,"Fhod1",NA
"3222",NA,"Adamts6",NA
"3223",NA,"Rab5b",NA
"3224",NA,"Dleu7",NA
"3225",NA,"Gm10053",NA
"3226",NA,"Inppl1",NA
"3227",NA,"Cercam",NA
"3228",NA,"Dnaaf9",NA
"3229",NA,"Git1",NA
"3230",NA,"Col27a1",NA
"3231",NA,"Igsf6",NA
"3232",NA,"Timd4",NA
"3233",NA,"Fjx1",NA
"3234",NA,"Hfe",NA
"3235",NA,"Ttll5",NA
"3236",NA,"Unc13a",NA
"3237",NA,"Ube2t",NA
"3238",NA,"Mgll",NA
"3239",NA,"Lmo2",NA
"3240",NA,"Usf2",NA
"3241",NA,"Elovl7",NA
"3242",NA,"Lmln",NA
"3243",NA,"Gas2l1",NA
"3244",NA,"Pilrb1",NA
"3245",NA,"Hck",NA
"3246",NA,"Ptprk",NA
"3247",NA,"H3c6",NA
"3248",NA,"Plxnc1",NA
"3249",NA,"Fanci",NA
"3250",NA,"Ift81",NA
"3251",NA,"Tmem231",NA
"3252",NA,"Mpv17",NA
"3253",NA,"Slc12a8",NA
"3254",NA,"Fdps",NA
"3255",NA,"Ahr",NA
"3256",NA,"Tesk2",NA
"3257",NA,"Gdf15",NA
"3258",NA,"Pbx2",NA
"3259",NA,"Ccdc163",NA
"3260",NA,"Arhgef10",NA
"3261",NA,"Trbd2",NA
"3262",NA,"Cd38",NA
"3263",NA,"B3gnt5",NA
"3264",NA,"Slc16a13",NA
"3265",NA,"Manea",NA
"3266",NA,"Ms4a6c",NA
"3267",NA,"Wee1",NA
"3268",NA,"Insyn2b",NA
"3269",NA,"Exoc3l",NA
"3270",NA,"Tmem156",NA
"3271",NA,"Kcns1",NA
"3272",NA,"Cir1",NA
"3273",NA,"Mctp2",NA
"3274",NA,"Jade3",NA
"3275",NA,"Sepsecs",NA
"3276",NA,"Tlr2",NA
"3277",NA,"Zfp202",NA
"3278",NA,"Plagl1",NA
"3279",NA,"Ctdspl",NA
"3280",NA,"Fbxo5",NA
"3281",NA,"Zfp810",NA
"3282",NA,"H4c4",NA
"3283",NA,"Eid3",NA
"3284",NA,"Npnt",NA
"3285",NA,"Arhgap10",NA
"3286",NA,"Mlh3",NA
"3287",NA,"Rasal1",NA
"3288",NA,"Bend5",NA
"3289",NA,"Zbtb6",NA
"3290",NA,"Plcl1",NA
"3291",NA,"Cfap54",NA
"3292",NA,"Gca",NA
"3293",NA,"Dkkl1",NA
"3294",NA,"Wdr6",NA
"3295",NA,"Irak3",NA
"3296",NA,"Snx9",NA
"3297",NA,"Tceal3",NA
"3298",NA,"Tubg2",NA
"3299",NA,"Grifin",NA
"3300",NA,"Dnajc6",NA
"3301",NA,"Epb41l4b",NA
"3302",NA,"Pkn3",NA
"3303",NA,"Prr12",NA
"3304",NA,"Nedd4",NA
"3305",NA,"Myo7a",NA
"3306",NA,"Clec4a1",NA
"3307",NA,"Dock4",NA
"3308",NA,"Ptgfrn",NA
"3309",NA,"Urb2",NA
"3310",NA,"Luzp1",NA
"3311",NA,"Rd3",NA
"3312",NA,"Hacl1",NA
"3313",NA,"Map3k12",NA
"3314",NA,"Nadsyn1",NA
"3315",NA,"Brdt",NA
"3316",NA,"Mmp9",NA
"3317",NA,"Mbd5",NA
"3318",NA,"Psmc3ip",NA
"3319",NA,"Dcun1d4",NA
"3320",NA,"Aldh3b1",NA
"3321",NA,"Prnp",NA
"3322",NA,"Kctd14",NA
"3323",NA,"Abcb1a",NA
"3324",NA,"Lingo4",NA
"3325",NA,"Prss12",NA
"3326",NA,"Ccdc34",NA
"3327",NA,"Per2",NA
"3328",NA,"Ccnb2",NA
"3329",NA,"Cd300lf",NA
"3330",NA,"Ap5b1",NA
"3331",NA,"Clasp2",NA
"3332",NA,"Mmp14",NA
"3333",NA,"Cpa3",NA
"3334",NA,"Bmf",NA
"3335",NA,"Ccr5",NA
"3336",NA,"Nav1",NA
"3337",NA,"Ppip5k1",NA
"3338",NA,"Syt13",NA
"3339",NA,"Fer",NA
"3340",NA,"Adat1",NA
"3341",NA,"Trip6",NA
"3342",NA,"Blnk",NA
"3343",NA,"Ighv5-17",NA
"3344",NA,"Ifitm6",NA
"3345",NA,"Il10",NA
"3346",NA,"Il1r1",NA
"3347",NA,"H60b",NA
"3348",NA,"Mgmt",NA
"3349",NA,"Gbp2b",NA
"3350",NA,"Flnb",NA
"3351",NA,"A430033K04Rik",NA
"3352",NA,"Rsph1",NA
"3353",NA,"Arhgap18",NA
"3354",NA,"Zfp61",NA
"3355",NA,"Xylt1",NA
"3356",NA,"Pccb",NA
"3357",NA,"Akt3",NA
"3358",NA,"Mllt1",NA
"3359",NA,"Serpinb6b",NA
"3360",NA,"Sema4d",NA
"3361",NA,"Gm14295",NA
"3362",NA,"Tm7sf2",NA
"3363",NA,"Proser3",NA
"3364",NA,"D130040H23Rik",NA
"3365",NA,"Rprd1a",NA
"3366",NA,"Fam122b",NA
"3367",NA,"Rtl8c",NA
"3368",NA,"Dnajc28",NA
"3369",NA,"Pik3ap1",NA
"3370",NA,"Clec11a",NA
"3371",NA,"Rab31",NA
"3372",NA,"Trgc2",NA
"3373",NA,"BC049715",NA
"3374",NA,"Dnah12",NA
"3375",NA,"Smim26",NA
"3376",NA,"Hyls1",NA
"3377",NA,"Thnsl2",NA
"3378",NA,"Mgat4a",NA
"3379",NA,"Syngr1",NA
"3380",NA,"Tsen15",NA
"3381",NA,"Elmo3",NA
"3382",NA,"Enpp1",NA
"3383",NA,"Lrrn3",NA
"3384",NA,"Fam151b",NA
"3385",NA,"Acvr1b",NA
"3386",NA,"Rfx2",NA
"3387",NA,"Auts2",NA
"3388",NA,"Osbpl5",NA
"3389",NA,"Dynlt1f",NA
"3390",NA,"Zbtb42",NA
"3391",NA,"Prlr",NA
"3392",NA,"Eps8l1",NA
"3393",NA,"Exoc6b",NA
"3394",NA,"Mex3b",NA
"3395",NA,"Fbrs",NA
"3396",NA,"Shpk",NA
"3397",NA,"Ppic",NA
"3398",NA,"Dnajb5",NA
"3399",NA,"Samd1",NA
"3400",NA,"Rtl8a",NA
"3401",NA,"Castor2",NA
"3402",NA,"Rom1",NA
"3403",NA,"Dip2a",NA
"3404",NA,"Prdm9",NA
"3405",NA,"Gpd1",NA
"3406",NA,"Afg1l",NA
"3407",NA,"Cage1",NA
"3408",NA,"Trgc4",NA
"3409",NA,"Lrrc6",NA
"3410",NA,"Golm2",NA
"3411",NA,"Plod1",NA
"3412",NA,"Csf2ra",NA
"3413",NA,"Snta1",NA
"3414",NA,"Arhgap29",NA
"3415",NA,"Ckap2",NA
"3416",NA,"Tex15",NA
"3417",NA,"Acad11",NA
"3418",NA,"Zc3h11a",NA
"3419",NA,"Cmtm4",NA
"3420",NA,"Lrp12",NA
"3421",NA,"Morn3",NA
"3422",NA,"Emid1",NA
"3423",NA,"Vcpkmt",NA
"3424",NA,"Atg9b",NA
"3425",NA,"Zpbp2",NA
"3426",NA,"Cttn",NA
"3427",NA,"Myl4",NA
"3428",NA,"2510009E07Rik",NA
"3429",NA,"Cracdl",NA
"3430",NA,"Tcaim",NA
"3431",NA,"Dclk2",NA
"3432",NA,"Rem2",NA
"3433",NA,"Coro2a",NA
"3434",NA,"Spdl1",NA
"3435",NA,"Ppp1r12b",NA
"3436",NA,"Ddc",NA
"3437",NA,"Tmem108",NA
"3438",NA,"Zbtb4",NA
"3439",NA,"Pak4",NA
"3440",NA,"Mroh2a",NA
"3441",NA,"Ighv1-39",NA
"3442",NA,"Fgfrl1",NA
"3443",NA,"Eml1",NA
"3444",NA,"Prelid2",NA
"3445",NA,"Lrba",NA
"3446",NA,"Igkv16-104",NA
"3447",NA,"Epc2",NA
"3448",NA,"Gtf2ird1",NA
"3449",NA,"P4ha2",NA
"3450",NA,"Entpd1",NA
"3451",NA,"Ptprv",NA
"3452",NA,"Ly6k",NA
"3453",NA,"Pclaf",NA
"3454",NA,"Zfyve21",NA
"3455",NA,"Foxo4",NA
"3456",NA,"Atrnl1",NA
"3457",NA,"Snx32",NA
"3458",NA,"Cpeb4",NA
"3459",NA,"Sh3tc1",NA
"3460",NA,"Washc1",NA
"3461",NA,"Bag2",NA
"3462",NA,"Tubal3",NA
"3463",NA,"Zadh2",NA
"3464",NA,"H2-Eb1",NA
"3465",NA,"Traj42",NA
"3466",NA,"Ssx2ip",NA
"3467",NA,"Extl2",NA
"3468",NA,"Stard10",NA
"3469",NA,"Slc38a6",NA
"3470",NA,"Bcorl1",NA
"3471",NA,"Lrch4",NA
"3472",NA,"Trappc2",NA
"3473",NA,"Aqp3",NA
"3474",NA,"Lig3",NA
"3475",NA,"Agap2",NA
"3476",NA,"Timeless",NA
"3477",NA,"Igkv14-126",NA
"3478",NA,"Axin2",NA
"3479",NA,"Trdv2-2",NA
"3480",NA,"Ccn4",NA
"3481",NA,"C8g",NA
"3482",NA,"Dusp28",NA
"3483",NA,"Tefm",NA
"3484",NA,"Clec5a",NA
"3485",NA,"Adamtsl4",NA
"3486",NA,"Ercc6l",NA
"3487",NA,"Oas1b",NA
"3488",NA,"Fahd2a",NA
"3489",NA,"Cd200r4",NA
"3490",NA,"Cldn12",NA
"3491",NA,"Mmp10",NA
"3492",NA,"Dnai4",NA
"3493",NA,"Jazf1",NA
"3494",NA,"Setmar",NA
"3495",NA,"Sardh",NA
"3496",NA,"Ccna2",NA
"3497",NA,"Foxo3",NA
"3498",NA,"Ankle1",NA
"3499",NA,"Gorasp1",NA
"3500",NA,"Rab11fip2",NA
"3501",NA,"Kbtbd3",NA
"3502",NA,"Rtl10",NA
"3503",NA,"Pbx4",NA
"3504",NA,"Ralgds",NA
"3505",NA,"Tnks1bp1",NA
"3506",NA,"Pak1",NA
"3507",NA,"Naip5",NA
"3508",NA,"Dhfr",NA
"3509",NA,"Fkbpl",NA
"3510",NA,"Hes1",NA
"3511",NA,"Ms4a1",NA
"3512",NA,"Agap1",NA
"3513",NA,"Rttn",NA
"3514",NA,"Actn3",NA
"3515",NA,"Carm1",NA
"3516",NA,"Csgalnact1",NA
"3517",NA,"Bcdin3d",NA
"3518",NA,"H2bc6",NA
"3519",NA,"Alg10b",NA
"3520",NA,"Fam110b",NA
"3521",NA,"Wdcp",NA
"3522",NA,"Cdca3",NA
"3523",NA,"Dok3",NA
"3524",NA,"2010315B03Rik",NA
"3525",NA,"Rbpms2",NA
"3526",NA,"Mpst",NA
"3527",NA,"Pde11a",NA
"3528",NA,"C1qtnf12",NA
"3529",NA,"Myo1d",NA
"3530",NA,"Mmp12",NA
"3531",NA,"Nhej1",NA
"3532",NA,"Tmem240",NA
"3533",NA,"Pdzd2",NA
"3534",NA,"Adal",NA
"3535",NA,"Tecpr2",NA
"3536",NA,"Atxn7",NA
"3537",NA,"Ighv4-1",NA
"3538",NA,"F11r",NA
"3539",NA,"Zfp367",NA
"3540",NA,"Ankrd29",NA
"3541",NA,"Nuak2",NA
"3542",NA,"Fgf2",NA
"3543",NA,"Parp12",NA
"3544",NA,"H4c17",NA
"3545",NA,"Fam43a",NA
"3546",NA,"Ppt2",NA
"3547",NA,"Nutf2-ps1",NA
"3548",NA,"Ighv5-9",NA
"3549",NA,"Tmem86b",NA
"3550",NA,"Mitf",NA
"3551",NA,"Zcchc18",NA
"3552",NA,"Slc2a9",NA
"3553",NA,"Cecr2",NA
"3554",NA,"Car8",NA
"3555",NA,"Tle2",NA
"3556",NA,"Timmdc1",NA
"3557",NA,"Denn2b",NA
"3558",NA,"Lag3",NA
"3559",NA,"Rsad2",NA
"3560",NA,"Mrnip",NA
"3561",NA,"Thbs1",NA
"3562",NA,"Dbp",NA
"3563",NA,"Ckap2l",NA
"3564",NA,"Grk4",NA
"3565",NA,"Ptms",NA
"3566",NA,"Tgm1",NA
"3567",NA,"Gucy1a1",NA
"3568",NA,"Clstn3",NA
"3569",NA,"Ttc21b",NA
"3570",NA,"Sptbn2",NA
"3571",NA,"4933416I08Rik",NA
"3572",NA,"Emilin2",NA
"3573",NA,"Dram1",NA
"3574",NA,"Fn3k",NA
"3575",NA,"Mapre3",NA
"3576",NA,"Ccdc191",NA
"3577",NA,"Rps6kc1",NA
"3578",NA,"Tsga10",NA
"3579",NA,"Fam241b",NA
"3580",NA,"Fn1",NA
"3581",NA,"Brd3os",NA
"3582",NA,"Uchl4",NA
"3583",NA,"Slc4a11",NA
"3584",NA,"Prxl2b",NA
"3585",NA,"Sh3pxd2a",NA
"3586",NA,"Tes3-ps",NA
"3587",NA,"Efhc1",NA
"3588",NA,"Rapgef5",NA
"3589",NA,"Zdhhc1",NA
"3590",NA,"Igkv8-30",NA
"3591",NA,"Pcx",NA
"3592",NA,"Trim47",NA
"3593",NA,"Tatdn3",NA
"3594",NA,"Cxcl16",NA
"3595",NA,"Btf3l4b",NA
"3596",NA,"Nudt17",NA
"3597",NA,"Lipt1",NA
"3598",NA,"Art4",NA
"3599",NA,"Tdgf1",NA
"3600",NA,"Tert",NA
"3601",NA,"Cd79a",NA
"3602",NA,"Bbs2",NA
"3603",NA,"Mypop",NA
"3604",NA,"Camk2n2",NA
"3605",NA,"Bivm",NA
"3606",NA,"Cfap74",NA
"3607",NA,"Foxd2",NA
"3608",NA,"Wdr90",NA
"3609",NA,"Zmat3",NA
"3610",NA,"Myl9",NA
"3611",NA,"Tiam2",NA
"3612",NA,"Socs7",NA
"3613",NA,"Gas2",NA
"3614",NA,"Pou6f1",NA
"3615",NA,"Hyal3",NA
"3616",NA,"P2ry14",NA
"3617",NA,"F13a1",NA
"3618",NA,"Naip2",NA
"3619",NA,"Ager",NA
"3620",NA,"Nectin4",NA
"3621",NA,"Slc45a3",NA
"3622",NA,"Adam19",NA
"3623",NA,"Syn1",NA
"3624",NA,"Marcks",NA
"3625",NA,"B3gnt8",NA
"3626",NA,"Cacnb3",NA
"3627",NA,"Ttc30b",NA
"3628",NA,"Tmem273",NA
"3629",NA,"Myo19",NA
"3630",NA,"Rsph3a",NA
"3631",NA,"Rasl11a",NA
"3632",NA,"Tbc1d24",NA
"3633",NA,"Xk",NA
"3634",NA,"Tmtc3",NA
"3635",NA,"Gm3636",NA
"3636",NA,"Map4k5",NA
"3637",NA,"Abhd14b",NA
"3638",NA,"Zfp58",NA
"3639",NA,"Fbxl9",NA
"3640",NA,"Popdc2",NA
"3641",NA,"Tmem198b",NA
"3642",NA,"Atg4c",NA
"3643",NA,"Rab43",NA
"3644",NA,"Trbv30",NA
"3645",NA,"Dlg3",NA
"3646",NA,"Enkd1",NA
"3647",NA,"Tmc4",NA
"3648",NA,"Ppm1k",NA
"3649",NA,"Lzts2",NA
"3650",NA,"Gpx7",NA
"3651",NA,"Vwa3b",NA
"3652",NA,"Pomc",NA
"3653",NA,"Cep128",NA
"3654",NA,"Kcnip3",NA
"3655",NA,"Siah3",NA
"3656",NA,"Ctdsp1",NA
"3657",NA,"Cdkn3",NA
"3658",NA,"Trmt44",NA
"3659",NA,"Agrn",NA
"3660",NA,"Fbxo48",NA
"3661",NA,"Ttc41",NA
"3662",NA,"Cfap20dc",NA
"3663",NA,"Ppp2r3a",NA
"3664",NA,"Tmem163",NA
"3665",NA,"Nmb",NA
"3666",NA,"Pla2g15",NA
"3667",NA,"Tmem267",NA
"3668",NA,"Snrpf",NA
"3669",NA,"Serpina3f",NA
"3670",NA,"Nt5dc3",NA
"3671",NA,"Celsr2",NA
"3672",NA,"Tlr12",NA
"3673",NA,"Acrbp",NA
"3674",NA,"Icam5",NA
"3675",NA,"Kcnab1",NA
"3676",NA,"Il4i1",NA
"3677",NA,"Cep131",NA
"3678",NA,"Chdh",NA
"3679",NA,"Art3",NA
"3680",NA,"Enpp2",NA
"3681",NA,"Zfp983",NA
"3682",NA,"Tarbp1",NA
"3683",NA,"Dusp22",NA
"3684",NA,"Prickle1",NA
"3685",NA,"Arap3",NA
"3686",NA,"Smug1",NA
"3687",NA,"Ccnf",NA
"3688",NA,"Nek3",NA
"3689",NA,"Rwdd3",NA
"3690",NA,"Aunip",NA
"3691",NA,"Cst6",NA
"3692",NA,"Bcl2a1c",NA
"3693",NA,"Tmem106a",NA
"3694",NA,"Tmed1",NA
"3695",NA,"Trav4-4-dv10",NA
"3696",NA,"Dcxr",NA
"3697",NA,"C77080",NA
"3698",NA,"Cd79b",NA
"3699",NA,"Ehd2",NA
"3700",NA,"Afmid",NA
"3701",NA,"Coprs",NA
"3702",NA,"Metrnl",NA
"3703",NA,"6720489N17Rik",NA
"3704",NA,"Haspin",NA
"3705",NA,"Fbxw17",NA
"3706",NA,"Mctp1",NA
"3707",NA,"Rims3",NA
"3708",NA,"Mcoln2",NA
"3709",NA,"Smo",NA
"3710",NA,"Zscan2",NA
"3711",NA,"Fst",NA
"3712",NA,"Klrb1c",NA
"3713",NA,"Ccdc138",NA
"3714",NA,"Axdnd1",NA
"3715",NA,"Pcnx",NA
"3716",NA,"Spag5",NA
"3717",NA,"Zfp273",NA
"3718",NA,"Map6",NA
"3719",NA,"Alg6",NA
"3720",NA,"Tbc1d2",NA
"3721",NA,"Mterf1a",NA
"3722",NA,"Mzb1",NA
"3723",NA,"Qpct",NA
"3724",NA,"Rpusd2",NA
"3725",NA,"Lcn4",NA
"3726",NA,"Cenpv",NA
"3727",NA,"Atp8a2",NA
"3728",NA,"Klrg1",NA
"3729",NA,"Garin1a",NA
"3730",NA,"Msrb1",NA
"3731",NA,"Dag1",NA
"3732",NA,"Gstcd",NA
"3733",NA,"Adgrd1",NA
"3734",NA,"Troap",NA
"3735",NA,"Spats2l",NA
"3736",NA,"Pex26",NA
"3737",NA,"Doc2g",NA
"3738",NA,"Prkar2b",NA
"3739",NA,"Map3k20",NA
"3740",NA,"Efcab5",NA
"3741",NA,"Snx31",NA
"3742",NA,"Adap2",NA
"3743",NA,"Prkce",NA
"3744",NA,"Slc16a3",NA
"3745",NA,"Eri2",NA
"3746",NA,"Kif2c",NA
"3747",NA,"Lhfpl2",NA
"3748",NA,"Spaca1",NA
"3749",NA,"Camk1",NA
"3750",NA,"Mmp11",NA
"3751",NA,"6430571L13Rik",NA
"3752",NA,"Efcab2",NA
"3753",NA,"H3c11",NA
"3754",NA,"Fcgr4",NA
"3755",NA,"H2bc8",NA
"3756",NA,"Zfp2",NA
"3757",NA,"Gprin3",NA
"3758",NA,"Cstpp1",NA
"3759",NA,"Gm14326",NA
"3760",NA,"Cerkl",NA
"3761",NA,"Trip13",NA
"3762",NA,"Adam4",NA
"3763",NA,"Iglc1",NA
"3764",NA,"Mef2c",NA
"3765",NA,"Matn2",NA
"3766",NA,"Aoah",NA
"3767",NA,"Tmem205",NA
"3768",NA,"Tafa3",NA
"3769",NA,"St6galnac3",NA
"3770",NA,"C2",NA
"3771",NA,"Cobll1",NA
"3772",NA,"Ska2",NA
"3773",NA,"Echdc1",NA
"3774",NA,"Tmem170",NA
"3775",NA,"Ccnj",NA
"3776",NA,"Tyro3",NA
"3777",NA,"Esrp2",NA
"3778",NA,"Reep1",NA
"3779",NA,"Kif18a",NA
"3780",NA,"Mtfp1",NA
"3781",NA,"Trip10",NA
"3782",NA,"Padi4",NA
"3783",NA,"Plcg2",NA
"3784",NA,"1700028J19Rik",NA
"3785",NA,"Prokr1",NA
"3786",NA,"Ogfrl1",NA
"3787",NA,"Nubpl",NA
"3788",NA,"Cntln",NA
"3789",NA,"Lpar5",NA
"3790",NA,"Scnn1a",NA
"3791",NA,"Samd11",NA
"3792",NA,"Sord",NA
"3793",NA,"Pou3f1",NA
"3794",NA,"C2cd2",NA
"3795",NA,"Cnbd2",NA
"3796",NA,"Hpgds",NA
"3797",NA,"Gcnt2",NA
"3798",NA,"Rnls",NA
"3799",NA,"Kntc1",NA
"3800",NA,"Ammecr1",NA
"3801",NA,"Cdnf",NA
"3802",NA,"Tns2",NA
"3803",NA,"Capn5",NA
"3804",NA,"Mfsd3",NA
"3805",NA,"Npff",NA
"3806",NA,"Zfp418",NA
"3807",NA,"Sema6c",NA
"3808",NA,"Nxnl2",NA
"3809",NA,"Asph",NA
"3810",NA,"Styk1",NA
"3811",NA,"Prrt3",NA
"3812",NA,"Ceacam1",NA
"3813",NA,"Ankrd6",NA
"3814",NA,"Tmbim1",NA
"3815",NA,"Nrip3",NA
"3816",NA,"Usp50",NA
"3817",NA,"Kcnmb4",NA
"3818",NA,"Spib",NA
"3819",NA,"Zcchc12",NA
"3820",NA,"Sh3gl3",NA
"3821",NA,"Rbm44",NA
"3822",NA,"H2ac13",NA
"3823",NA,"Mipol1",NA
"3824",NA,"Sgo2a",NA
"3825",NA,"Pabpc1l",NA
"3826",NA,"Camk2g",NA
"3827",NA,"Orc1",NA
"3828",NA,"Ptprn",NA
"3829",NA,"Srgap3",NA
"3830",NA,"Slc25a47",NA
"3831",NA,"Ect2",NA
"3832",NA,"Gm10184",NA
"3833",NA,"Trpv6",NA
"3834",NA,"Kcnf1",NA
"3835",NA,"Arhgef10l",NA
"3836",NA,"Dbndd2",NA
"3837",NA,"1700029J07Rik",NA
"3838",NA,"Patl2",NA
"3839",NA,"Trav4-3",NA
"3840",NA,"Katnal1",NA
"3841",NA,"Tkfc",NA
"3842",NA,"Spata1",NA
"3843",NA,"Gm49405",NA
"3844",NA,"Tbxas1",NA
"3845",NA,"Jag1",NA
"3846",NA,"BC035044",NA
"3847",NA,"Epx",NA
"3848",NA,"Usp54",NA
"3849",NA,"I830077J02Rik",NA
"3850",NA,"Dtx4",NA
"3851",NA,"6430550D23Rik",NA
"3852",NA,"Plekhg5",NA
"3853",NA,"Lyrm7",NA
"3854",NA,"Pnck",NA
"3855",NA,"Prr7",NA
"3856",NA,"Gm7324",NA
"3857",NA,"Iglv1",NA
"3858",NA,"Zfp873",NA
"3859",NA,"1700019D03Rik",NA
"3860",NA,"Enthd1",NA
"3861",NA,"Bak1",NA
"3862",NA,"Dipk1c",NA
"3863",NA,"Klre1",NA
"3864",NA,"Kctd1",NA
"3865",NA,"Ifih1",NA
"3866",NA,"Jmjd7",NA
"3867",NA,"Knstrn",NA
"3868",NA,"Dcst1",NA
"3869",NA,"Syt3",NA
"3870",NA,"Wdr59",NA
"3871",NA,"Kifc3",NA
"3872",NA,"Dusp23",NA
"3873",NA,"Sh3bgrl2",NA
"3874",NA,"Ciita",NA
"3875",NA,"H2ac6",NA
"3876",NA,"Zgrf1",NA
"3877",NA,"Alms1",NA
"3878",NA,"Efcab7",NA
"3879",NA,"Eomes",NA
"3880",NA,"Bbof1",NA
"3881",NA,"Pgpep1l",NA
"3882",NA,"Gna15",NA
"3883",NA,"Vkorc1",NA
"3884",NA,"Hc",NA
"3885",NA,"Colq",NA
"3886",NA,"Ly6d",NA
"3887",NA,"Mansc1",NA
"3888",NA,"Trav1",NA
"3889",NA,"Aebp1",NA
"3890",NA,"Apol10b",NA
"3891",NA,"Fzd5",NA
"3892",NA,"Ms4a4a",NA
"3893",NA,"Aldoc",NA
"3894",NA,"Sez6l2",NA
"3895",NA,"Stxbp4",NA
"3896",NA,"Glt8d2",NA
"3897",NA,"Pltp",NA
"3898",NA,"Fndc4",NA
"3899",NA,"Zfp456",NA
"3900",NA,"Cmc4",NA
"3901",NA,"Fbxo36",NA
"3902",NA,"Dedd",NA
"3903",NA,"Plekha6",NA
"3904",NA,"Tmem255a",NA
"3905",NA,"Rasgef1b",NA
"3906",NA,"Tubb4a",NA
"3907",NA,"Thnsl1",NA
"3908",NA,"Ncf2",NA
"3909",NA,"Il17rb",NA
"3910",NA,"Alox5ap",NA
"3911",NA,"Tnfsf10",NA
"3912",NA,"Rad51c",NA
"3913",NA,"Vwf",NA
"3914",NA,"Rdh5",NA
"3915",NA,"Aldh1l2",NA
"3916",NA,"Gkap1",NA
"3917",NA,"Ulbp1",NA
"3918",NA,"Acyp2",NA
"3919",NA,"Nod2",NA
"3920",NA,"Prc1",NA
"3921",NA,"Trav6d-3",NA
"3922",NA,"Ptprf",NA
"3923",NA,"Zfp101",NA
"3924",NA,"Scg2",NA
"3925",NA,"Zdhhc2",NA
"3926",NA,"Scart2",NA
"3927",NA,"Zfp933",NA
"3928",NA,"Rbm12b2",NA
"3929",NA,"Atn1",NA
"3930",NA,"Samd3",NA
"3931",NA,"Mex3a",NA
"3932",NA,"Nfatc2ip",NA
"3933",NA,"Itgam",NA
"3934",NA,"Igkv5-48",NA
"3935",NA,"Itga2b",NA
"3936",NA,"Pam16l",NA
"3937",NA,"Zbtb26",NA
"3938",NA,"Ccdc112",NA
"3939",NA,"Fv1",NA
"3940",NA,"Fgr",NA
"3941",NA,"Csf1",NA
"3942",NA,"Trim7",NA
"3943",NA,"Fhl2",NA
"3944",NA,"Ttll9",NA
"3945",NA,"Arhgef9",NA
"3946",NA,"Tnfsf9",NA
"3947",NA,"Spry2",NA
"3948",NA,"Cd40",NA
"3949",NA,"Zfp974",NA
"3950",NA,"Pou4f1",NA
"3951",NA,"Slc39a2",NA
"3952",NA,"Repin1",NA
"3953",NA,"Ctif",NA
"3954",NA,"Plxna3",NA
"3955",NA,"Smagp",NA
"3956",NA,"Stx3",NA
"3957",NA,"Havcr2",NA
"3958",NA,"Stil",NA
"3959",NA,"Kif13a",NA
